REG_ANS,PERIODO,ANO,TRIMESTRE,porte,MLL,ROE,ROA,DM,DA,DC,DOP,IRF,LC,CT/CP,PMRC,PMPE,Lastro P T
316881,201701,2017,1,Médio Porte,         0.10,         0.11,         0.03,         1.13,         0.09,         0.01,         1.18,        -0.02,         1.46,         2.40,        97.08,       107.31,         0.94
316881,201702,2017,2,Médio Porte,         0.06,         0.07,         0.02,         1.19,         0.09,         0.01,         1.23,        -0.02,         1.55,         2.42,        98.28,        89.20,         1.02
316881,201703,2017,3,Médio Porte,         0.03,         0.04,         0.01,         1.19,         0.09,         0.02,         1.23,        -0.03,         1.63,         2.48,        98.78,        85.03,         1.02
316881,201704,2017,4,Médio Porte,         0.03,         0.03,         0.01,         1.19,         0.10,         0.01,         1.24,        -0.03,         1.44,         2.56,       103.69,        70.79,         1.09
317012,201701,2017,1,Pequeno Porte,         0.00,         0.01,         0.00,         1.13,         0.18,         0.00,         1.27,         0.04,         2.32,         1.51,        47.11,        94.69,         0.98
317012,201702,2017,2,Pequeno Porte,         0.05,         0.05,         0.02,         1.09,         0.15,         0.00,         1.21,         0.03,         2.60,         1.37,        52.11,        78.19,         0.98
317012,201703,2017,3,Pequeno Porte,         0.09,         0.10,         0.04,         1.04,         0.15,         0.00,         1.16,         0.02,         2.65,         1.33,        48.06,        91.35,         0.98
317012,201704,2017,4,Pequeno Porte,         0.07,         0.08,         0.03,         1.00,         0.15,         0.00,         1.14,        -0.02,         2.72,         1.44,        53.22,        90.02,         0.98
317144,201701,2017,1,Grande Porte,         0.07,         0.09,         0.03,         1.10,         0.11,         0.01,         1.19,         0.03,         1.34,         2.33,        27.69,       132.96,         0.79
317144,201702,2017,2,Grande Porte,         0.01,         0.02,         0.01,         1.19,         0.11,         0.01,         1.26,         0.03,         1.32,         2.39,        31.97,       131.73,         0.71
317144,201703,2017,3,Grande Porte,         0.01,         0.01,         0.00,         1.19,         0.11,         0.01,         1.26,         0.02,         1.30,         2.47,        35.81,       132.63,         0.65
317144,201704,2017,4,Grande Porte,         0.04,         0.05,         0.02,         1.14,         0.09,         0.01,         1.20,         0.00,         1.35,         2.27,        29.90,       128.69,         0.73
317896,201701,2017,1,Pequeno Porte,         0.23,         0.18,         0.09,         0.86,         0.14,         0.00,         1.01,         0.06,         3.54,         0.74,        72.75,        64.24,         0.97
317896,201702,2017,2,Pequeno Porte,         0.30,         0.24,         0.11,         0.79,         0.14,         0.00,         0.94,         0.05,         4.06,         0.75,        66.39,        62.92,         1.01
317896,201703,2017,3,Pequeno Porte,         0.25,         0.20,         0.08,         0.86,         0.13,         0.00,         0.99,         0.05,         4.16,         0.79,        78.84,        70.92,         0.96
317896,201704,2017,4,Pequeno Porte,        -0.13,        -0.08,        -0.05,         1.22,         0.37,         0.00,         1.48,         0.04,         4.15,         0.70,        88.13,        42.73,         0.99
318035,201701,2017,1,Pequeno Porte,         0.13,         0.13,         0.05,         1.03,         0.15,         0.00,         1.15,         0.06,         1.73,         1.84,        59.90,        92.91,         2.06
318035,201702,2017,2,Pequeno Porte,         0.04,         0.04,         0.01,         1.12,         0.16,         0.00,         1.25,         0.05,         1.76,         1.74,        64.33,        98.04,         1.06
318035,201703,2017,3,Pequeno Porte,         0.02,         0.02,         0.01,         1.10,         0.14,         0.00,         1.22,         0.04,         1.76,         1.86,        66.27,       108.90,         0.94
318035,201704,2017,4,Pequeno Porte,         0.11,         0.10,         0.04,         0.99,         0.13,         0.00,         1.12,        -0.01,         1.91,         1.64,        67.31,       112.64,         0.95
318213,201701,2017,1,Médio Porte,         0.11,         0.19,         0.05,         1.13,         0.11,         0.00,         1.20,         0.03,         2.18,         3.09,       148.17,       108.36,         1.00
318213,201702,2017,2,Médio Porte,         0.11,         0.16,         0.04,         1.18,         0.12,         0.00,         1.24,         0.02,         2.39,         2.52,       118.26,       107.87,         1.00
318213,201703,2017,3,Médio Porte,         0.05,         0.07,         0.02,         1.22,         0.11,         0.00,         1.26,         0.02,         2.40,         2.41,       159.46,        94.69,         1.00
318213,201704,2017,4,Médio Porte,         0.01,         0.01,         0.00,         1.21,         0.11,         0.00,         1.26,         0.02,         2.50,         2.32,       124.67,       103.10,         1.00
318388,201701,2017,1,Médio Porte,         0.10,         0.16,         0.05,         1.18,         0.13,         0.01,         1.25,         0.01,         1.11,         2.10,        59.76,        77.96,         0.83
318388,201702,2017,2,Médio Porte,         0.13,         0.18,         0.07,         1.21,         0.13,         0.00,         1.27,         0.01,         1.17,         1.77,        61.20,        69.72,         0.86
318388,201703,2017,3,Médio Porte,         0.11,         0.13,         0.05,         1.23,         0.14,         0.01,         1.29,         0.01,         1.30,         1.63,        53.98,        73.42,         0.82
318388,201704,2017,4,Médio Porte,         0.07,         0.09,         0.03,         1.33,         0.15,         0.01,         1.36,         0.01,         1.27,         1.87,        60.74,        69.20,         0.86
318566,201701,2017,1,Pequeno Porte,         0.10,         0.09,         0.04,         1.20,         0.26,         0.01,         1.40,         0.03,         1.98,         1.50,        87.22,        18.05,         1.14
318566,201702,2017,2,Pequeno Porte,         0.04,         0.03,         0.01,         1.22,         0.23,         0.02,         1.37,         0.03,         2.00,         1.50,        86.18,        21.11,         1.00
318566,201703,2017,3,Pequeno Porte,         0.15,         0.13,         0.05,         1.15,         0.21,         0.01,         1.30,         0.03,         2.01,         1.48,       102.36,        22.51,         0.98
318566,201704,2017,4,Pequeno Porte,         0.04,         0.04,         0.02,         1.23,         0.17,         0.02,         1.32,        -0.00,         2.10,         1.42,        98.56,        24.27,         0.99
319121,201701,2017,1,Grande Porte,        -0.10,        -0.20,        -0.06,         1.17,         0.10,         0.00,         1.25,         0.02,         1.18,         2.80,        91.23,       146.71,         0.80
319121,201702,2017,2,Grande Porte,         0.06,         0.11,         0.03,         1.03,         0.09,         0.00,         1.12,         0.01,         1.24,         2.69,        80.81,       153.66,         0.80
319121,201703,2017,3,Grande Porte,         0.06,         0.12,         0.03,         1.02,         0.09,         0.00,         1.10,         0.01,         1.27,         2.74,        73.15,       147.87,         0.93
319121,201704,2017,4,Grande Porte,         0.12,         0.24,         0.06,         0.95,         0.09,         0.00,         1.03,         0.01,         1.57,         2.57,        76.21,       143.63,         0.85
319384,201701,2017,1,Médio Porte,         0.15,         0.08,         0.04,         1.04,         0.13,         0.00,         1.16,         0.05,         2.46,         0.87,       138.04,        85.67,         2.52
319384,201702,2017,2,Médio Porte,         0.05,         0.03,         0.01,         1.12,         0.14,         0.00,         1.25,         0.04,         2.32,         0.92,       156.02,        98.41,         0.99
319384,201703,2017,3,Médio Porte,         0.06,         0.03,         0.01,         1.12,         0.11,         0.00,         1.22,         0.04,         1.99,         1.11,       129.43,        86.99,         1.04
319384,201704,2017,4,Médio Porte,        -0.04,        -0.02,        -0.01,         1.22,         0.20,         0.00,         1.38,         0.00,         2.05,         1.18,       127.34,        88.20,         0.97
319708,201701,2017,1,Médio Porte,         0.15,         0.18,         0.06,         1.22,         0.15,         0.03,         1.32,         0.02,         1.67,         1.96,        40.48,        77.39,         1.03
319708,201702,2017,2,Médio Porte,         0.10,         0.12,         0.04,         1.29,         0.15,         0.03,         1.36,         0.02,         1.80,         1.76,        32.30,        70.59,         1.04
319708,201703,2017,3,Médio Porte,         0.03,         0.03,         0.01,         1.38,         0.13,         0.03,         1.42,         0.02,         1.81,         1.81,        32.23,        73.20,         1.01
319708,201704,2017,4,Médio Porte,        -0.24,        -0.31,        -0.10,         1.64,         0.14,         0.03,         1.54,         0.02,         1.76,         2.20,        40.54,        54.69,         1.24
319996,201701,2017,1,Grande Porte,         0.04,         0.13,         0.03,         1.08,         0.08,         0.02,         1.16,         0.01,         1.40,         2.82,        68.81,        51.19,         0.85
319996,201702,2017,2,Grande Porte,        -0.01,        -0.04,        -0.01,         1.14,         0.08,         0.02,         1.22,         0.01,         1.34,         2.94,        74.42,        50.64,         0.92
319996,201703,2017,3,Grande Porte,        -0.03,        -0.11,        -0.03,         1.14,         0.08,         0.02,         1.21,         0.01,         1.27,         3.35,        78.68,        45.37,         0.79
319996,201704,2017,4,Grande Porte,         0.04,         0.13,         0.03,         1.08,         0.08,         0.02,         1.16,         0.01,         1.32,         2.85,        72.65,        38.35,         0.94
320251,201701,2017,1,Médio Porte,         0.06,         0.06,         0.02,         1.00,         0.11,         0.01,         1.11,        -0.01,         1.11,         2.14,        44.05,        87.52,         1.75
320251,201702,2017,2,Médio Porte,         0.05,         0.05,         0.02,         1.02,         0.11,         0.02,         1.14,        -0.01,         1.21,         2.18,        44.92,        85.35,         0.90
320251,201703,2017,3,Médio Porte,         0.04,         0.04,         0.01,         1.04,         0.12,         0.02,         1.15,        -0.00,         1.32,         2.16,        44.57,        80.45,         0.94
320251,201704,2017,4,Médio Porte,         0.11,         0.09,         0.03,         0.98,         0.14,         0.02,         1.13,         0.02,         1.27,         1.70,        56.42,        88.44,         0.90
320706,201701,2017,1,Médio Porte,         0.01,         0.01,         0.00,         1.17,         0.10,         0.02,         1.24,         0.03,         1.51,         1.49,       100.20,        80.45,         0.92
320706,201702,2017,2,Médio Porte,         0.00,         0.00,         0.00,         1.18,         0.10,         0.02,         1.24,         0.03,         1.44,         1.60,        98.67,        72.07,         0.97
320706,201703,2017,3,Médio Porte,         0.00,         0.00,         0.00,         1.17,         0.10,         0.02,         1.26,         0.03,         1.40,         1.69,       102.78,        78.07,         0.92
320706,201704,2017,4,Médio Porte,         0.00,         0.00,         0.00,         1.18,         0.10,         0.02,         1.25,         0.03,         1.61,         1.31,       104.79,        70.97,         0.96
320838,201701,2017,1,Pequeno Porte,         7.59,         0.11,         0.04,        51.22,         0.34,         0.00,         2.01,         1.83,         3.12,         1.74,        28.06,         0.00,         1.88
320838,201702,2017,2,Pequeno Porte,         4.76,         0.07,         0.03,        49.75,        -0.07,         0.00,         2.00,         1.04,         3.01,         1.69,        29.20,         0.00,         1.83
320838,201703,2017,3,Pequeno Porte,         9.14,         0.11,         0.05,        58.64,         0.10,         0.00,         2.01,         1.02,         3.47,         1.41,        29.43,         0.00,         1.69
320838,201704,2017,4,Pequeno Porte,         6.24,         0.07,         0.03,        63.07,         0.04,         0.00,         2.00,         0.69,         4.79,         1.24,        28.08,         0.00,         1.70
320862,201701,2017,1,Médio Porte,         0.17,         0.21,         0.08,         0.97,         0.11,         0.00,         1.07,         0.02,         1.38,         1.50,       187.35,        62.06,         1.06
320862,201702,2017,2,Médio Porte,         0.02,         0.02,         0.01,         1.18,         0.13,         0.00,         1.27,         0.02,         1.37,         1.64,       196.46,        75.69,         1.01
320862,201703,2017,3,Médio Porte,        -0.01,        -0.01,        -0.01,         1.18,         0.12,         0.01,         1.27,         0.01,         1.35,         1.70,       195.11,        71.55,         1.02
320862,201704,2017,4,Médio Porte,         0.04,         0.05,         0.02,         1.13,         0.09,         0.00,         1.20,        -0.01,         1.35,         1.62,       184.09,        68.52,         1.03
320897,201701,2017,1,Pequeno Porte,        -0.01,        -0.02,        -0.00,         1.15,         0.19,         0.02,         1.30,         0.03,         1.12,         2.79,        89.44,       102.47,         1.04
320897,201702,2017,2,Pequeno Porte,         0.05,         0.08,         0.02,         1.09,         0.16,         0.02,         1.23,         0.03,         1.15,         2.68,        99.14,       106.38,         0.96
320897,201703,2017,3,Pequeno Porte,         0.02,         0.03,         0.01,         1.13,         0.16,         0.01,         1.27,         0.02,         1.15,         2.69,        93.41,       103.78,         0.90
320897,201704,2017,4,Pequeno Porte,         0.10,         0.15,         0.04,         1.02,         0.16,         0.01,         1.17,         0.01,         1.20,         2.46,        97.63,       101.36,         0.99
321044,201701,2017,1,Grande Porte,         0.02,         0.05,         0.01,         1.03,         0.09,         0.00,         1.11,        -0.00,         1.03,         2.49,       114.37,        54.95,         1.00
321044,201702,2017,2,Grande Porte,         0.01,         0.03,         0.01,         1.06,         0.09,         0.00,         1.14,        -0.00,         1.07,         2.30,        89.01,        62.87,         1.02
321044,201703,2017,3,Grande Porte,         2.00,         0.00,         0.00,        -0.67,         0.00,         0.00,        -0.67,         0.00,         1.07,         2.29,424823871623.62,-510074589824.30,         1.02
321044,201704,2017,4,Grande Porte,         0.01,         0.06,         0.02,         1.04,         0.09,         0.00,         1.12,        -0.00,         1.09,         2.26,        43.03,        31.77,         0.99
321087,201701,2017,1,Pequeno Porte,         0.22,         0.11,         0.07,         0.85,         0.10,         0.00,         0.96,         0.04,         2.28,         0.58,       168.06,        51.80,         0.85
321087,201702,2017,2,Pequeno Porte,         0.10,         0.05,         0.03,         0.95,         0.10,         0.00,         1.06,         0.04,         2.25,         0.61,       176.49,        49.33,         1.02
321087,201703,2017,3,Pequeno Porte,         0.02,         0.01,         0.01,         1.04,         0.11,         0.00,         1.14,         0.03,         2.18,         0.61,       172.99,        53.18,         1.00
321087,201704,2017,4,Pequeno Porte,        -0.06,        -0.03,        -0.02,         1.11,         0.20,         0.00,         1.28,         0.03,         2.05,         0.62,       175.29,        49.57,         1.09
321273,201701,2017,1,Médio Porte,         0.14,         0.07,         0.03,         1.49,         0.04,         0.00,         1.35,        -0.00,         2.12,         1.10,        15.50,        43.56,         1.00
321273,201702,2017,2,Médio Porte,         0.02,         0.01,         0.01,         1.64,         0.04,         0.00,         1.45,        -0.01,         1.92,         1.14,        16.41,        41.11,         0.92
321273,201703,2017,3,Médio Porte,        -0.01,        -0.00,        -0.00,         1.66,         0.04,         0.00,         1.46,        -0.01,         1.83,         1.18,        14.76,        41.48,         1.02
321273,201704,2017,4,Médio Porte,         0.01,         0.00,         0.00,         1.62,         0.06,         0.00,         1.45,        -0.05,         1.80,         1.14,        12.88,        33.80,         1.15
321958,201701,2017,1,Médio Porte,         0.11,         0.12,         0.07,         0.98,         0.18,         0.02,         1.17,         0.02,         2.48,         0.61,       119.63,        88.96,         2.09
321958,201702,2017,2,Médio Porte,         0.08,         0.08,         0.05,         1.02,         0.17,         0.03,         1.20,         0.02,         2.44,         0.61,       124.63,        97.41,         2.00
321958,201703,2017,3,Médio Porte,         0.02,         0.02,         0.01,         1.10,         0.18,         0.04,         1.28,         0.02,         2.29,         0.65,       111.41,        93.54,         1.10
321958,201704,2017,4,Médio Porte,         0.07,         0.07,         0.05,         1.03,         0.17,         0.03,         1.20,         0.02,         2.47,         0.58,       101.87,        94.17,         1.16
322571,201701,2017,1,Médio Porte,        -0.02,        -0.03,        -0.01,         1.12,         0.11,         0.01,         1.23,         0.03,         1.60,         2.13,       164.52,        63.43,         1.10
322571,201702,2017,2,Médio Porte,         0.02,         0.03,         0.01,         1.05,         0.10,         0.01,         1.15,         0.02,         1.65,         1.93,       166.05,        64.78,         1.11
322571,201703,2017,3,Médio Porte,         0.05,         0.07,         0.03,         1.01,         0.10,         0.01,         1.11,         0.02,         1.84,         1.51,       101.12,        64.30,         1.11
322571,201704,2017,4,Médio Porte,         0.01,         0.01,         0.00,         1.05,         0.11,         0.00,         1.16,         0.02,         1.91,         1.08,        93.39,        54.34,         1.15
322831,201701,2017,1,Médio Porte,         0.04,         0.05,         0.02,         1.38,         0.11,         0.01,         1.38,         0.02,         1.49,         0.99,       124.11,        67.88,         1.24
322831,201702,2017,2,Médio Porte,        -0.15,        -0.21,        -0.09,         1.53,         0.12,         0.01,         1.51,         0.01,         1.28,         1.30,       117.83,        66.18,         0.90
322831,201703,2017,3,Médio Porte,        -0.03,        -0.05,        -0.02,         1.47,         0.11,         0.01,         1.44,         0.01,         1.24,         1.40,       115.58,        66.17,         0.92
322831,201704,2017,4,Médio Porte,         0.12,         0.15,         0.07,         1.35,         0.12,         0.01,         1.36,         0.01,         1.36,         1.14,       125.40,        73.34,         1.22
323004,201701,2017,1,Pequeno Porte,        -0.03,        -0.08,        -0.01,         1.75,         0.31,         0.00,         1.58,         0.03,         1.00,         5.49,        51.13,        49.70,         1.04
323004,201702,2017,2,Pequeno Porte,         0.05,         0.12,         0.02,         1.79,         0.26,         0.00,         1.52,         0.01,         1.02,         4.88,        92.81,        52.13,         1.16
323004,201703,2017,3,Pequeno Porte,        -0.07,        -0.21,        -0.03,         1.90,         0.27,         0.00,         1.63,         0.01,         0.95,         6.00,        63.91,        38.32,         1.11
323004,201704,2017,4,Pequeno Porte,         0.08,         0.20,         0.03,         1.70,         0.23,         0.00,         1.51,         0.01,         1.02,         4.81,        76.59,        48.64,         0.96
323055,201701,2017,1,Pequeno Porte,         0.25,         0.21,         0.11,         0.91,         0.15,         0.00,         1.05,         0.03,         2.49,         0.79,        50.14,        92.18,         1.42
323055,201702,2017,2,Pequeno Porte,         0.05,         0.05,         0.02,         1.12,         0.16,         0.00,         1.23,         0.03,         2.36,         0.88,        53.90,        80.17,         1.37
323055,201703,2017,3,Pequeno Porte,         0.03,         0.03,         0.01,         1.14,         0.15,         0.00,         1.25,         0.02,         2.31,         0.93,        61.95,        80.09,         1.32
323055,201704,2017,4,Pequeno Porte,        -0.03,        -0.02,        -0.01,         1.18,         0.14,         0.00,         1.26,         0.02,         1.99,         0.86,        61.96,        64.07,         1.42
323268,201701,2017,1,Médio Porte,         0.04,         0.07,         0.02,         1.12,         0.09,         0.01,         1.19,         0.02,         1.07,         2.25,        71.23,        92.71,         0.94
323268,201702,2017,2,Médio Porte,         0.03,         0.05,         0.02,         1.12,         0.09,         0.01,         1.19,         0.01,         1.09,         2.21,        75.04,        89.39,         0.87
323268,201703,2017,3,Médio Porte,         0.01,         0.01,         0.00,         1.15,         0.09,         0.01,         1.20,         0.02,         1.02,         2.20,        76.47,       104.02,         0.71
323268,201704,2017,4,Médio Porte,         0.05,         0.08,         0.03,         1.08,         0.11,         0.01,         1.17,         0.00,         1.15,         2.19,        76.71,        93.46,         0.92
323357,201701,2017,1,Pequeno Porte,         0.01,         0.02,         0.00,         1.74,         0.32,         0.00,         1.71,         0.03,         1.26,         4.43,       176.28,        96.56,         1.18
323357,201702,2017,2,Pequeno Porte,         0.09,         0.10,         0.02,         1.79,         0.27,         0.00,         1.71,         0.01,         1.31,         3.78,       151.49,        92.11,         1.06
323357,201703,2017,3,Pequeno Porte,        -0.04,        -0.05,        -0.01,         1.98,         0.29,         0.00,         1.81,         0.02,         1.29,         4.00,       186.15,        96.82,         0.97
323357,201704,2017,4,Pequeno Porte,         0.15,         0.16,         0.04,         1.71,         0.28,         0.00,         1.61,         0.01,         1.43,         2.96,       181.59,        82.54,         1.18
323926,201701,2017,1,Médio Porte,         0.18,         0.15,         0.06,         0.95,         0.14,         0.00,         1.09,         0.04,         1.92,         1.48,        33.51,       123.20,         0.81
323926,201702,2017,2,Médio Porte,         0.05,         0.04,         0.02,         1.08,         0.14,         0.01,         1.19,         0.02,         2.48,         1.11,        30.60,       101.90,         0.81
323926,201703,2017,3,Médio Porte,         0.13,         0.10,         0.05,         1.03,         0.14,         0.01,         1.15,         0.03,         2.73,         0.99,        37.20,        95.72,         0.90
323926,201704,2017,4,Médio Porte,         0.05,         0.04,         0.02,         1.15,         0.15,         0.01,         1.27,        -0.05,         2.71,         0.98,        37.92,        92.22,         0.88
323993,201701,2017,1,Médio Porte,         0.06,        -0.05,         0.01,         1.17,         0.14,         0.01,         1.27,         0.00,         0.21,        -4.65,        22.51,       189.46,         0.19
323993,201702,2017,2,Médio Porte,        -0.03,         0.02,        -0.01,         1.28,         0.15,         0.01,         1.37,        -0.01,         0.23,        -4.74,        24.63,       172.91,         0.19
323993,201703,2017,3,Médio Porte,         0.04,        -0.03,         0.01,         1.15,         0.13,         0.01,         1.25,        -0.00,         0.24,        -5.06,        31.21,       170.04,         0.33
323993,201704,2017,4,Médio Porte,        -0.03,         0.02,        -0.01,         1.49,         0.17,         0.01,         1.58,        -0.01,         0.22,        -2.77,        26.48,       109.45,         0.14
324159,201701,2017,1,Pequeno Porte,         0.13,         0.10,         0.04,         1.01,         0.19,         0.00,         1.18,         0.03,         1.56,         1.54,        15.39,        71.04,         0.99
324159,201702,2017,2,Pequeno Porte,         0.09,         0.07,         0.03,         1.05,         0.18,         0.00,         1.21,         0.03,         1.63,         1.47,        24.41,        78.92,         0.99
324159,201703,2017,3,Pequeno Porte,         0.01,         0.01,         0.00,         1.09,         0.17,         0.01,         1.25,         0.02,         1.61,         1.47,        22.84,        78.54,         1.03
324159,201704,2017,4,Pequeno Porte,         0.08,         0.06,         0.03,         1.01,         0.17,         0.00,         1.17,        -0.01,         1.69,         1.37,        54.55,        80.34,         1.02
324175,201701,2017,1,Pequeno Porte,         0.01,         0.01,         0.00,         2.06,         0.22,         0.00,         1.64,         0.03,         1.82,         1.10,       124.94,        40.82,         1.29
324175,201702,2017,2,Pequeno Porte,         0.12,         0.06,         0.03,         1.96,         0.21,         0.00,         1.59,         0.02,         1.87,         1.13,       134.90,        42.51,         1.41
324175,201703,2017,3,Pequeno Porte,         0.01,         0.01,         0.00,         2.02,         0.18,         0.00,         1.67,         0.02,         1.81,         1.23,       160.83,        40.13,         1.09
324175,201704,2017,4,Pequeno Porte,        -0.09,        -0.04,        -0.02,         2.36,         0.19,         0.00,         1.69,         0.03,         1.97,         1.19,       112.05,        39.98,         1.18
324213,201701,2017,1,Grande Porte,        -0.05,        -0.13,        -0.02,         1.26,         0.09,         0.03,         1.30,         0.01,         1.19,         4.68,       168.75,         6.93,         0.99
324213,201702,2017,2,Grande Porte,         0.03,         0.09,         0.02,         1.13,         0.09,         0.02,         1.21,        -0.00,         1.20,         4.31,       163.15,         9.11,         1.01
324213,201703,2017,3,Grande Porte,        -0.01,        -0.02,        -0.00,         1.19,         0.11,         0.02,         1.28,        -0.01,         1.22,         4.49,       183.28,        18.44,         0.96
324213,201704,2017,4,Grande Porte,        -0.19,        -0.93,        -0.10,         1.38,         0.08,         0.06,         1.46,        -0.00,         1.10,         8.48,       158.78,        47.65,         0.72
324345,201701,2017,1,Médio Porte,         0.15,         0.16,         0.09,         0.90,         0.12,         0.00,         1.02,         0.03,         2.30,         0.84,       142.50,        31.27,         1.04
324345,201702,2017,2,Médio Porte,         0.10,         0.10,         0.05,         0.95,         0.12,         0.01,         1.08,         0.02,         2.35,         0.81,       148.77,        33.90,         0.98
324345,201703,2017,3,Médio Porte,         0.02,         0.02,         0.01,         1.03,         0.13,         0.01,         1.15,         0.03,         2.26,         0.86,       145.20,        44.21,         0.89
324345,201704,2017,4,Médio Porte,        -0.09,        -0.10,        -0.05,         1.12,         0.12,         0.01,         1.23,         0.01,         2.09,         0.94,       152.46,        28.19,         0.99
324523,201701,2017,1,Pequeno Porte,         0.90,         0.07,         0.05,         2.24,         2.24,         0.00,         4.47,         0.24,         3.94,         0.26,         0.00,       113.08,         2.74
324523,201702,2017,2,Pequeno Porte,         0.04,         0.00,         0.00,         3.09,         3.09,         0.00,         6.17,         0.23,         3.96,         0.25,         2.60,        84.63,         2.97
324523,201703,2017,3,Pequeno Porte,        -0.58,        -0.04,        -0.03,         2.93,         2.92,         0.00,         5.85,         0.24,         3.37,         0.30,       720.73,       133.93,         2.33
324523,201704,2017,4,Pequeno Porte,        -2.57,        -0.05,        -0.04,        11.10,        10.72,         0.00,        21.82,         0.61,         2.54,         0.36,      2699.81,       128.47,         2.32
324566,201701,2017,1,Pequeno Porte,         0.07,         0.16,         0.03,         1.09,         0.15,         0.02,         1.24,         0.01,         1.07,         3.79,        56.29,        95.51,         1.05
324566,201702,2017,2,Pequeno Porte,        -0.04,        -0.10,        -0.02,         1.27,         0.18,         0.02,         1.41,         0.02,         1.05,         4.59,        65.43,        95.17,         0.99
324566,201703,2017,3,Pequeno Porte,         0.03,         0.07,         0.01,         1.16,         0.15,         0.03,         1.30,        -0.00,         1.06,         3.88,        57.91,        91.61,         1.05
324566,201704,2017,4,Pequeno Porte,        -0.04,        -0.12,        -0.02,         1.17,         0.16,         0.02,         1.34,         0.01,         0.99,         4.59,        65.37,       104.60,         0.94
325031,201701,2017,1,Médio Porte,         0.10,         0.12,         0.04,         1.08,         0.22,         0.00,         1.29,         0.03,         1.47,         2.53,       149.60,        94.62,         1.31
325031,201702,2017,2,Médio Porte,         0.06,         0.08,         0.02,         1.14,         0.23,         0.01,         1.33,         0.03,         1.48,         2.48,       158.82,        89.28,         1.12
325031,201703,2017,3,Médio Porte,         0.08,         0.10,         0.03,         1.08,         0.18,         0.00,         1.26,         0.02,         1.53,         2.31,       142.38,        76.96,         1.19
325031,201704,2017,4,Médio Porte,        -0.00,        -0.00,        -0.00,         1.06,         0.14,         0.00,         1.21,         0.01,         1.53,         2.32,       133.06,        79.33,         1.17
325082,201701,2017,1,Pequeno Porte,         0.21,         0.07,         0.03,         1.96,         0.21,         0.00,         1.60,         0.12,         3.70,         1.26,       120.40,       166.51,         2.99
325082,201702,2017,2,Pequeno Porte,         0.10,         0.03,         0.01,         1.87,         0.24,         0.00,         1.63,         0.09,         3.57,         1.33,        44.26,       171.28,         3.09
325082,201703,2017,3,Pequeno Porte,         0.30,         0.11,         0.05,         0.86,         0.15,         0.00,         1.01,         0.09,         3.73,         1.17,        67.66,       260.71,         3.41
325082,201704,2017,4,Pequeno Porte,        -0.51,        -0.19,        -0.07,         1.67,         0.37,         0.00,         1.83,         0.08,         2.97,         1.66,       153.55,       181.07,         0.79
325571,201701,2017,1,Grande Porte,         0.07,         0.08,         0.03,         1.08,         0.11,         0.00,         1.17,         0.01,         1.10,         1.49,        67.40,        73.54,         0.74
325571,201702,2017,2,Grande Porte,         0.01,         0.01,         0.00,         1.18,         0.12,         0.01,         1.25,         0.01,         1.22,         1.68,        69.29,        71.84,         0.75
325571,201703,2017,3,Grande Porte,        -0.03,        -0.04,        -0.01,         1.22,         0.11,         0.01,         1.28,         0.01,         1.17,         1.85,        66.13,        69.37,         0.76
325571,201704,2017,4,Grande Porte,        -0.04,        -0.05,        -0.02,         1.21,         0.11,         0.01,         1.27,        -0.03,         1.15,         1.83,        58.36,        70.76,         0.74
326089,201701,2017,1,Pequeno Porte,         0.10,         0.09,         0.03,         1.44,         0.16,         0.00,         1.41,         0.02,         1.40,         1.95,        56.40,        50.52,         0.92
326089,201702,2017,2,Pequeno Porte,         0.05,         0.04,         0.01,         1.58,         0.17,         0.00,         1.49,         0.03,         1.50,         1.89,        58.42,        53.22,         0.88
326089,201703,2017,3,Pequeno Porte,         0.00,         0.00,         0.00,         1.67,         0.16,         0.00,         1.52,         0.01,         1.47,         1.95,        59.27,        56.13,         0.87
326089,201704,2017,4,Pequeno Porte,        -0.02,        -0.02,        -0.01,         1.63,         0.16,         0.00,         1.50,         0.01,         1.51,         1.70,        61.86,        41.43,         1.04
327352,201701,2017,1,Pequeno Porte,         0.31,         0.11,         0.08,         0.90,         0.25,         0.00,         1.14,         0.05,         3.34,         0.36,        47.40,        63.76,         3.53
327352,201702,2017,2,Pequeno Porte,         0.19,         0.06,         0.05,         0.95,         0.26,         0.00,         1.20,         0.04,         3.43,         0.35,        57.49,        60.84,         3.78
327352,201703,2017,3,Pequeno Porte,         0.02,         0.01,         0.01,         1.17,         0.25,         0.00,         1.40,         0.04,         3.29,         0.37,        59.86,        50.72,         3.92
327352,201704,2017,4,Pequeno Porte,        -0.03,        -0.01,        -0.01,         1.23,         0.27,         0.00,         1.47,         0.03,         3.18,         0.37,        74.32,        31.55,         3.89
327468,201701,2017,1,Pequeno Porte,         0.33,         0.08,         0.06,         1.19,         0.26,         0.00,         1.35,         0.06,         1.85,         0.31,       146.28,        92.41,         1.00
327468,201702,2017,2,Pequeno Porte,         0.19,         0.04,         0.04,         1.44,         0.26,         0.00,         1.48,         0.05,         2.16,         0.25,       145.38,        30.28,         1.13
327468,201703,2017,3,Pequeno Porte,         0.05,         0.01,         0.01,         1.63,         0.29,         0.00,         1.61,         0.04,         2.09,         0.28,       181.73,        41.37,         1.05
327468,201704,2017,4,Pequeno Porte,         0.08,         0.02,         0.01,         1.56,         0.24,         0.00,         1.55,        -0.08,         2.07,         0.29,       166.29,        51.54,         0.94
